/home/andy/anaconda3/envs/star/bin/python /home/andy/PycharmProjects/STAR/star/etl/etl_control.py -C /home/andy/PycharmProjects/STAR/star/config/star.yml
2017-05-10 22:00:46,834 | INFO | log:7 | Begin
2017-05-10 22:00:46,834 | INFO | etl_control:88 | Cleaning raw STAGING to CLEAN
2017-05-10 22:00:46,840 | INFO | etl_control:31 | ETL batch: 1
2017-05-10 22:00:54,870 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:00:56,643 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:00:58,414 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:00:58,414 | INFO | etl_control:31 | ETL batch: 2
2017-05-10 22:01:06,778 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:01:08,615 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:01:10,315 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:01:10,315 | INFO | etl_control:31 | ETL batch: 3
2017-05-10 22:01:18,215 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:01:20,046 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:01:21,840 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:01:21,840 | INFO | etl_control:31 | ETL batch: 4
2017-05-10 22:01:30,183 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:01:31,999 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:01:33,722 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:01:33,722 | INFO | etl_control:31 | ETL batch: 5
2017-05-10 22:01:41,765 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:01:43,541 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:01:45,268 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:01:45,268 | INFO | etl_control:31 | ETL batch: 6
2017-05-10 22:01:53,216 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:01:55,008 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:01:56,812 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:01:56,812 | INFO | etl_control:31 | ETL batch: 7
2017-05-10 22:02:04,758 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:02:06,566 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:02:08,345 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:02:08,346 | INFO | etl_control:31 | ETL batch: 8
2017-05-10 22:02:16,321 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:02:18,108 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:02:19,847 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:02:19,848 | INFO | etl_control:31 | ETL batch: 9
2017-05-10 22:02:27,903 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:02:29,803 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:02:31,564 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:02:31,565 | INFO | etl_control:31 | ETL batch: 10
